,TEHSIL,OBJECTID,PROVINCE,DISTRICT,SHAPE_Leng,Area_Sq_Km,Shape_Le_1,Shape_Area,id,total_teh_obs,Preschool,Primary,Middle,Matric,Above
122,SHARAK PUR,413,PUNJAB,SHEIKHUPURA,1.046548929,375.5976093,1.04654893,0.035484738,410,1446,0.002074689,0.213692946,0.211618257,0.309128631,0.263485477
123,SHEIKHUPURA,414,PUNJAB,SHEIKHUPURA,2.180575115,1260.024663,2.180575111,0.119367239,411,792,0.002525253,0.299242424,0.200757576,0.215909091,0.281565657
124,SHORKOT,338,PUNJAB,JHANG,2.403544303,1227.900047,2.403544305,0.115646879,336,448,0,0.345982143,0.160714286,0.274553571,0.21875
125,SHUJABAD,371,PUNJAB,MULTAN,1.365443096,837.9264351,1.365443094,0.078180706,368,386,0.002590674,0.341968912,0.191709845,0.220207254,0.243523316
126,SIALKOT,418,PUNJAB,SIALKOT,1.671297656,973.1594714,1.980599573,0.092913018,415,1413,0,0.149327672,0.187544232,0.312809625,0.350318471
127,SILLANWALI,410,PUNJAB,SARGODHA,1.764301288,611.3425901,1.764301288,0.058098409,407,403,0.00248139,0.29528536,0.17617866,0.258064516,0.267990074
128,SOHAWA,342,PUNJAB,JHELUM,2.061695422,911.996249,2.061695421,0.087725211,340,518,0.007722008,0.308880309,0.185328185,0.276061776,0.222007722
129,TALA GANG,312,PUNJAB,CHAKWAL,2.913187457,3161.008132,2.913187454,0.304179588,310,454,0,0.251101322,0.156387665,0.301762115,0.290748899
130,TANDLIANWALA,324,PUNJAB,FAISALABAD,2.685672836,1355.244494,2.685672833,0.12751031,322,526,0,0.395437262,0.180608365,0.205323194,0.218631179
131,TAUNSA,318,PUNJAB,DERA GHAZI KHAN,2.636205832,2664.574149,2.636205833,0.251513981,316,402,0.017412935,0.26119403,0.156716418,0.281094527,0.28358209
132,TAXILA,402,PUNJAB,RAWALPINDI,0.896920123,279.556575,0.896920125,0.027136526,399,660,0.006060606,0.222727273,0.15,0.253030303,0.368181818
133,TOBA TEK SINGH,421,PUNJAB,TOBA TEK SINGH,2.285254957,1270.461653,2.285254964,0.119640397,417,779,0,0.246469833,0.166880616,0.297817715,0.288831836
134,VEHARI,424,PUNJAB,VEHARI,2.230502458,1391.50063,2.230502456,0.129881336,420,594,0,0.31986532,0.178451178,0.232323232,0.269360269
135,WAZIRABAD,329,PUNJAB,GUJRANWALA,1.750099175,1211.967391,1.750099177,0.11553483,327,995,0,0.238190955,0.208040201,0.286432161,0.267336683
136,YAZMAN,304,PUNJAB,BAHAWALPUR,8.008162027,19177.74593,8.008162027,1.768815314,302,878,0.017084282,0.334851936,0.142369021,0.238041002,0.267653759
137,ZAFARWAL,382,PUNJAB,NAROWAL,1.529210596,641.6228026,1.526527917,0.061028365,379,551,0,0.245009074,0.239564428,0.310344828,0.20508167
