,OBJECTID,PROVINCE,DISTRICT,TEHSIL,SHAPE_Leng,Area_Sq_Km,Shape_Le_1,Shape_Area,id,penta3_in_clinic,penta3_out_clinic,proportion
400,403,PUNJAB,SAHIWAL,CHICHAWATNI,2.604384834,1587.548238,2.604384835,0.148738681,400,2473,28480,0.920104675
401,404,PUNJAB,SAHIWAL,SAHIWAL_SAHIWAL,2.470416604,1644.621745,2.470416602,0.154299986,401,3021,58884,0.951199418
402,405,PUNJAB,SARGODHA,BHALWAL,1.869846301,1282.585642,1.869846293,0.122544463,402,4561,23480,0.837345316
403,406,PUNJAB,SARGODHA,KOT MOMIN,1.454933777,893.8070359,1.454933776,0.085142475,403,2368,8309,0.778214854
404,407,PUNJAB,SARGODHA,SAHIWAL,1.583097961,759.8902417,1.583097956,0.072309003,404,1180,12110,0.911211437
405,408,PUNJAB,SARGODHA,SARGODHA,2.672250258,1457.875837,2.672250251,0.138883927,405,4675,48084,0.911389526
406,409,PUNJAB,SARGODHA,SHAHPUR,1.556400454,788.0076131,1.556400453,0.075240038,406,2087,11363,0.844832714
407,410,PUNJAB,SARGODHA,SILLANWALI,1.764301288,611.3425901,1.764301288,0.058098409,407,1485,14610,0.907735322
408,411,PUNJAB,SHEIKHUPURA,FEROZEWALA,1.415148576,459.8054257,1.41514858,0.043500421,408,3857,16020,0.805956633
409,412,PUNJAB,SHEIKHUPURA,MURIDKE,1.941678065,949.5785871,1.941678064,0.089976235,409,2849,21929,0.885018968
410,413,PUNJAB,SHEIKHUPURA,SHARAK PUR,1.046548929,375.5976093,1.04654893,0.035484738,410,1000,4702,0.824622939
411,414,PUNJAB,SHEIKHUPURA,SHEIKHUPURA,2.180575115,1260.024663,2.180575111,0.119367239,411,5073,43420,0.895386963
412,415,PUNJAB,SIALKOT,DASKA,1.762775262,754.4180099,1.762775259,0.071829877,412,6913,24444,0.779538859
413,416,PUNJAB,SIALKOT,PASRUR,1.818256158,1022.206276,1.898750363,0.097260731,413,5575,21494,0.794044848
414,417,PUNJAB,SIALKOT,SAMBRIAL,0.93038272,361.486893,0.930382718,0.03450157,414,2892,11747,0.802445522
415,418,PUNJAB,SIALKOT,SIALKOT,1.671297656,973.1594714,1.980599573,0.092913018,415,5642,40947,0.878898452
416,419,PUNJAB,TOBA TEK SINGH,GOJRA,1.768058201,691.3388352,1.768058205,0.065242207,416,2581,19823,0.884797358
417,421,PUNJAB,TOBA TEK SINGH,TOBA TEK SINGH,2.285254957,1270.461653,2.285254964,0.119640397,417,5594,35891,0.865156081
418,422,PUNJAB,VEHARI,BUREWALA,2.325331321,1501.832367,2.325331319,0.140263986,418,4274,31969,0.88207378
419,423,PUNJAB,VEHARI,MAILSI,2.743828003,1600.701712,2.743828008,0.149272386,419,6001,29023,0.828660347
420,424,PUNJAB,VEHARI,VEHARI,2.230502458,1391.50063,2.230502456,0.129881336,420,3053,23633,0.885595443
552,420,PUNJAB,TOBA TEK SINGH,KAMALIA,2.226345171,1117.021028,2.225943378,0.104929681,552,2648,21317,0.889505529
553,350,PUNJAB,KHANEWAL,MIAN CHANNU,1.958708515,1025.931166,1.958306725,0.096137607,553,4964,37699,0.883646251
